t,MV,PV,DV
1.468000000000000000e+03,1.330981426807462498e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.469000000000000000e+03,1.330442637084617807e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.470000000000000000e+03,1.340910941349553376e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.471000000000000000e+03,1.329427926432317442e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.472000000000000000e+03,1.328894405772810572e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.473000000000000000e+03,1.339367958956511728e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.474000000000000000e+03,1.327890172885899922e+01,4.222999999999999687e+01,6.000000000000000000e+01
1.475000000000000000e+03,1.316356211989640101e+01,4.222999999999999687e+01,6.000000000000000000e+01
1.476000000000000000e+03,1.315771082366614131e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.477000000000000000e+03,1.337198649157706498e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.478000000000000000e+03,1.325727423851080999e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.479000000000000000e+03,1.325205964691079785e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.480000000000000000e+03,1.335691533255109320e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.481000000000000000e+03,1.335231365705406681e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.482000000000000000e+03,1.334773200209402511e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.483000000000000000e+03,1.334316712142783601e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.484000000000000000e+03,1.333861895086372407e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.485000000000000000e+03,1.333408742650145484e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.486000000000000000e+03,1.369642745428508590e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.487000000000000000e+03,1.332701481703760393e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.488000000000000000e+03,1.343259994752373565e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.489000000000000000e+03,1.331866010962447433e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.490000000000000000e+03,1.390118199954542710e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.491000000000000000e+03,1.367974125045095768e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.492000000000000000e+03,1.342048372713990823e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.493000000000000000e+03,1.356341792203447305e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.494000000000000000e+03,1.367045157944749434e+01,4.203999999999999915e+01,6.000000000000000000e+01
1.495000000000000000e+03,1.377808772627963485e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.496000000000000000e+03,1.355615576816490098e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.497000000000000000e+03,1.329639294020733331e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.498000000000000000e+03,1.354887801481504894e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.499000000000000000e+03,1.339918950370332773e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.500000000000000000e+03,1.339548981924202842e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.501000000000000000e+03,1.339180154876256523e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.502000000000000000e+03,1.327807238387471855e+01,4.210000000000000142e+01,6.000000000000000000e+01
1.503000000000000000e+03,1.353063149896763129e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.504000000000000000e+03,1.363781945032524057e+01,4.207000000000000028e+01,6.000000000000000000e+01
1.505000000000000000e+03,1.363555597998595559e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.506000000000000000e+03,1.385342403274291456e+01,4.200999999999999801e+01,6.000000000000000000e+01
1.507000000000000000e+03,1.385235885740327788e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.508000000000000000e+03,1.432822674842453559e+01,4.190999999999999659e+01,6.000000000000000000e+01
1.509000000000000000e+03,1.421966485352360365e+01,4.185000000000000142e+01,6.000000000000000000e+01
1.510000000000000000e+03,1.444071911871077951e+01,4.196999999999999886e+01,6.000000000000000000e+01
1.511000000000000000e+03,1.400261077783637731e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.512000000000000000e+03,1.433259034110250063e+01,4.188000000000000256e+01,6.000000000000000000e+01
1.513000000000000000e+03,1.433414933663652135e+01,4.188000000000000256e+01,6.000000000000000000e+01
