t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
5.790000000000000000e+02,0.000000000000000000e+00,1.706127667722685359e+01,-1.532550606096566348e+01,3.238678273814627318e+01,4.624604003772848031e-11,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.639000000000000057e+01
5.800000000000000000e+02,0.000000000000000000e+00,1.686926300268284606e+01,-1.543497396140113764e+01,3.230424014607407912e+01,-3.181990094389816894e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.810000000000000000e+02,0.000000000000000000e+00,1.689678008343448212e+01,-1.532550606096566348e+01,3.222228296245629764e+01,3.181943848349798567e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.820000000000000000e+02,0.000000000000000000e+00,1.681481971791909658e+01,-1.532550606096566348e+01,3.214032577883851616e+01,4.624604001819051947e-11,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.830000000000000000e+02,0.000000000000000000e+00,1.673286253425506942e+01,-1.532550606096566348e+01,3.205836859522073468e+01,6.721351222062694195e-16,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.840000000000000000e+02,0.000000000000000000e+00,1.665090535063728794e+01,-1.532550606096566348e+01,3.197641141160294964e+01,9.768741763090163875e-21,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.628999999999999915e+01
5.850000000000000000e+02,0.000000000000000000e+00,1.682574664573945000e+01,-1.507008095994956953e+01,3.189582018104546179e+01,7.424643555144303658e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.632999999999999829e+01
5.860000000000000000e+02,0.000000000000000000e+00,1.659840600280634959e+01,-1.521603816053019109e+01,3.181444840588208933e+01,-4.242545551087303895e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.620000000000000284e+01
5.870000000000000000e+02,0.000000000000000000e+00,1.699394993060674963e+01,-1.474167725864317546e+01,3.173561340068783920e+01,1.378856208455290891e-05,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.610000000000000142e+01
5.880000000000000000e+02,0.000000000000000000e+00,1.728195610665074611e+01,-1.437678425719160735e+01,3.165872975700829883e+01,1.060683405172945862e-05,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.610000000000000142e+01
